,rating,title,credit,box,year,actor
315,76,Black Hawk Down,McKnight,108.6,2001,Tom Sizemore
316,25,Pearl Harbor,Earl,197.8,2001,Tom Sizemore
317,,Ticker,Nettles,,2001,Tom Sizemore
318,14,Red Planet,Dr. Quinn Burchenal,,2000,Tom Sizemore
319,11,Play It to the Bone,Joe Domino,,1999,Tom Sizemore
320,60,Witness Protection,Bobby Batton,,1999,Tom Sizemore
321,71,Bringing Out the Dead,Tom,,1999,Tom Sizemore
322,,The Match,Buffalo,,1999,Tom Sizemore
323,,The Florentine,Teddy,,1999,Tom Sizemore
324,71,Enemy of the State,Pintero,,1998,Tom Sizemore
325,93,Saving Private Ryan,Sgt. Horvath,,1998,Tom Sizemore
326,60,Witness to the Mob,Actor,,1998,Tom Sizemore
327,,Into the Breach: 'Saving Private Ryan',Actor,,1998,Tom Sizemore
328,32,The Relic,Lt. Vincent D'Agosta,,1997,Tom Sizemore
329,86,Heat,Michael Cheritto,,1995,Tom Sizemore
330,63,Strange Days,Max Peltier,,1995,Tom Sizemore
331,88,Devil in a Blue Dress,DeWitt Albright,,1995,Tom Sizemore
332,47,Natural Born Killers,Jack Scagnetti,,1994,Tom Sizemore
333,42,Wyatt Earp,Bat Masterson,,1994,Tom Sizemore
334,14,Striking Distance,Det. Danny Detillo,,1993,Tom Sizemore
335,92,True Romance,Cody Nicholson,,1993,Tom Sizemore
336,55,Heart and Souls,Milo Peck,,1993,Tom Sizemore
337,56,Watch It,Danny,,1993,Tom Sizemore
338,,Bad Love,Lenny,,1992,Tom Sizemore
339,21,Passenger 57,Sly Delvecchio,,1992,Tom Sizemore
340,,An American Story,Jesse Meadows,,1992,Tom Sizemore
341,,Where Sleeping Dogs Lie (1991),Eddie Hale,,1991,Tom Sizemore
342,22,Harley Davidson and the Marlboro Man,Chance Wilder,,1991,Tom Sizemore
343,68,Point Break,DEA agent Deets,,1991,Tom Sizemore
344,,A Matter Of Degrees,Zeno Stefanos,,1991,Tom Sizemore
